.rownames,Temp.predict.Final.glm
285,0.503138287182024
286,0.459800372513705
287,0.431694166807722
288,0.442906918620925
289,0.441022434264985
290,0.395728139825605
291,0.397509555478506
292,0.382975921943452
293,0.325534996539507
294,0.31547130095094
295,0.31213657000585
296,0.312319115737578
297,0.37871367396965
298,0.346907203407676
299,0.323500716096428
300,0.368946896499239
301,0.415082583749541
302,0.428832410587878
303,0.415920900358756
304,0.392981768611487
305,0.361631995043569
306,0.345738283846128
307,0.358391029032411
308,0.347653394292178
